[2026-08-31T18:38:58.292833] Frecuencia: 399.2000 MHz (399200000 Hz) | Canal ID: 1536 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:38:58.293065] Frecuencia: 391.4000 MHz (391400000 Hz) | Canal ID: 912 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:38:58.293598] Frecuencia: 390.8000 MHz (390800000 Hz) | Canal ID: 864 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:39:26.311006] Frecuencia: 396.2125 MHz (396212500 Hz) | Canal ID: 1297 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.311210] Frecuencia: 397.0125 MHz (397012500 Hz) | Canal ID: 1361 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.311337] Frecuencia: 397.6750 MHz (397675000 Hz) | Canal ID: 1414 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.311513] Frecuencia: 397.3875 MHz (397387500 Hz) | Canal ID: 1391 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.312518] Frecuencia: 396.2000 MHz (396200000 Hz) | Canal ID: 1296 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.312643] Frecuencia: 394.1750 MHz (394175000 Hz) | Canal ID: 1134 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.527584] Frecuencia: 399.2750 MHz (399275000 Hz) | Canal ID: 1542 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:39:26.531785] Frecuencia: 399.0750 MHz (399075000 Hz) | Canal ID: 1526 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:42:22.714999] Frecuencia: 391.0375 MHz (391037500 Hz) | Canal ID: 883 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.675583] Frecuencia: 399.6000 MHz (399600000 Hz) | Canal ID: 1568 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.677594] Frecuencia: 390.2750 MHz (390275000 Hz) | Canal ID: 822 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.677914] Frecuencia: 393.6000 MHz (393600000 Hz) | Canal ID: 1088 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.679223] Frecuencia: 399.8500 MHz (399850000 Hz) | Canal ID: 1588 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.679684] Frecuencia: 394.2000 MHz (394200000 Hz) | Canal ID: 1136 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.681337] Frecuencia: 390.4500 MHz (390450000 Hz) | Canal ID: 836 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.681750] Frecuencia: 399.2000 MHz (399200000 Hz) | Canal ID: 1536 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.682167] Frecuencia: 394.3500 MHz (394350000 Hz) | Canal ID: 1148 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.685675] Frecuencia: 391.4000 MHz (391400000 Hz) | Canal ID: 912 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.687406] Frecuencia: 390.8000 MHz (390800000 Hz) | Canal ID: 864 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:46.170396] Frecuencia: 390.2750 MHz (390275000 Hz) | Canal ID: 822 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:42:46.170622] Frecuencia: 393.6000 MHz (393600000 Hz) | Canal ID: 1088 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:42:46.171221] Frecuencia: 393.4000 MHz (393400000 Hz) | Canal ID: 1072 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:42:46.173608] Frecuencia: 399.2000 MHz (399200000 Hz) | Canal ID: 1536 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:42:46.173735] Frecuencia: 391.4000 MHz (391400000 Hz) | Canal ID: 912 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:42:46.173882] Frecuencia: 390.8000 MHz (390800000 Hz) | Canal ID: 864 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:18.067005] Frecuencia: 397.0125 MHz (397012500 Hz) | Canal ID: 1361 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:18.068163] Frecuencia: 396.2000 MHz (396200000 Hz) | Canal ID: 1296 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:18.068633] Frecuencia: 391.3375 MHz (391337500 Hz) | Canal ID: 907 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:18.319615] Frecuencia: 390.2750 MHz (390275000 Hz) | Canal ID: 822 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:18.319892] Frecuencia: 393.6000 MHz (393600000 Hz) | Canal ID: 1088 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:18.320180] Frecuencia: 393.4000 MHz (393400000 Hz) | Canal ID: 1072 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:18.320560] Frecuencia: 399.2000 MHz (399200000 Hz) | Canal ID: 1536 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:18.320863] Frecuencia: 391.4000 MHz (391400000 Hz) | Canal ID: 912 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:18.321073] Frecuencia: 390.8000 MHz (390800000 Hz) | Canal ID: 864 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:19.543532] Frecuencia: 399.6000 MHz (399600000 Hz) | Canal ID: 1568 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:19.543915] Frecuencia: 394.9000 MHz (394900000 Hz) | Canal ID: 1192 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:19.544250] Frecuencia: 399.8500 MHz (399850000 Hz) | Canal ID: 1588 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:19.544543] Frecuencia: 394.2000 MHz (394200000 Hz) | Canal ID: 1136 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:19.544997] Frecuencia: 390.4500 MHz (390450000 Hz) | Canal ID: 836 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:20.105936] Frecuencia: 399.1500 MHz (399150000 Hz) | Canal ID: 1532 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:20.106399] Frecuencia: 400.0000 MHz (400000000 Hz) | Canal ID: 1600 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:20.106693] Frecuencia: 393.9875 MHz (393987500 Hz) | Canal ID: 1119 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:20.107297] Frecuencia: 399.3500 MHz (399350000 Hz) | Canal ID: 1548 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:21.195997] Frecuencia: 394.4375 MHz (394437500 Hz) | Canal ID: 1155 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:21.196424] Frecuencia: 390.1000 MHz (390100000 Hz) | Canal ID: 808 | Detectada en: 392.6625 MHz | Celda SCR: 70
